target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2215.11	12.3333	0.0653438
Nep3-PB	2361	2215.11	12.3333	0.0653438
Nep3-PC	2361	2215.11	12.3333	0.0653438
CG9570-PA	633	487.162	2	0.0481809
Or19b-PA	1164	1018.11	0	0
CG15322-PB	2223	2077.11	1.5	0.00847522
CG15322-PC	2223	2077.11	1.5	0.00847522
Or19a-PB	1164	1018.11	0	0
karr-PA	294	154.042	0	0
fd19B-PA	783	637.108	0	0
CG17003-PA	864	718.108	0	0
CG12655-PA	468	322.63	0	0
CG33217-PA	2100	1954.11	100	0.600579
Vps11-PA	2493	2347.11	161.975	0.809904
RpL10-PC	657	511.162	2556.33	58.6918
RpL10-PD	657	511.162	2556.33	58.6918
RpL10-PE	657	511.162	2556.33	58.6918
G9a-PA	4914	4768.11	141	0.34705
G9a-PB	4974	4828.11	0	0
cin-PB	1806	1660.11	112.5	0.795308
cin-PA	1806	1660.11	112.5	0.795308
CG3777-PB	2640	2494.11	11	0.0517603
CG3777-PA	2640	2494.11	11	0.0517603
CG3777-PC	2640	2494.11	11	0.0517603
CG3777-PD	2640	2494.11	11	0.0517603
CG3777-PE	2640	2494.11	11	0.0517603
CG12470-PA	588	442.162	0	0
Or1a-PA	1179	1033.11	0	0
y-PA	1626	1480.11	0	0
ac-PA	606	460.162	0	0
sc-PA	1038	892.108	0	0
l(1)sc-PA	774	628.108	0	0
ase-PA	1461	1315.11	0	0
CG13373-PA	375	230.954	0	0
CG13373-PB	534	388.284	52	1.57171
CG32817-PA	366	222.161	0	0
CG32817-PC	366	222.161	0	0
CG32817-PB	366	222.161	0	0
CG3176-PA	366	222.161	10.1026	0.533683
CG3176-PB	306	165.229	5.89744	0.418886
CG3176-PC	306	165.229	5.89744	0.418886
CG3176-PD	366	222.161	10.1026	0.533683
CG3156-PA	2079	1933.11	25.7574	0.156374
CG17778-PA	384	239.813	0	0
CG17778-PB	384	239.813	0	0
arg-PA	1056	910.108	1	0.0128951
CG17896-PB	1563	1417.11	813	6.73297
CG17896-PA	1536	1390.11	0	0
CG18273-PA	4134	3988.11	192	0.565006
Cyp4g1-PA	1671	1525.11	16	0.123123
Pgcl-PA	1224	1078.11	0	0
CG32816-PB	1137	991.108	152.25	1.80283
CG32816-PA	1137	991.108	152.25	1.80283
CG32816-PC	882	736.108	0	0
CG32816-PD	882	736.108	0	0
CG32816-PE	1137	991.108	152.25	1.80283
CG32816-PF	1137	991.108	152.25	1.80283
CG13375-PA	921	775.108	0	0
CG13375-PB	921	775.108	0	0
CG13375-PC	834	688.108	5	0.0852771
CG3038-PB	1077	931.108	22	0.277295
CG3038-PA	1167	1021.11	0	0
CG3038-PC	1080	934.108	0	0
Appl-PA	2664	2518.11	0	0
Appl-PB	2673	2527.11	6.59253	0.0306159
Appl-PC	2493	2347.11	0	0
Appl-PD	2667	2521.11	40.0335	0.186359
Appl-PE	2652	2506.11	0	0
Appl-PF	2667	2521.11	13.374	0.0622569
CG13369-PA	915	769.108	561	8.56041
CG17829-PA	1404	1258.11	77	0.718277
CG17829-PC	1347	1201.11	0	0
CG17829-PB	1404	1258.11	77	0.718277
Mybbp1A-PA	3402	3256.11	94	0.338804
su(sable)-PA	3978	3832.11	634.489	1.94315
su(sable)-PB	3966	3820.11	48.0222	0.147532
su(sable)-PC	3978	3832.11	634.489	1.94315
CG13367-PA	1227	1081.11	184	1.99741
Roc1a-PC	411	266.387	0	0
Roc1a-PA	327	184.827	364.5	23.1446
Roc1a-PD	327	184.827	364.5	23.1446
CG5254-PA	921	775.108	33	0.499656
CG5254-PB	714	568.108	0	0
CG5273-PA	1410	1264.11	19	0.176396
CG5273-PC	1410	1264.11	19	0.176396
CG5273-PB	1410	1264.11	19	0.176396
fz3-PA	1746	1600.11	478.238	3.50763
fz3-PB	1941	1795.11	55.5234	0.362998
fz3-PC	1746	1600.11	478.238	3.50763
CG16989-PC	3138	2992.11	119.5	0.468716
CG16989-PD	3138	2992.11	119.5	0.468716
CG14635-PA	360	216.271	0	0
CG13358-PD	906	760.108	0	0
CG13359-PA	1482	1336.11	3	0.0263511
