target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2192.53	45	0.0795642
Nep3-PB	2361	2192.53	45	0.0795642
Nep3-PC	2361	2192.53	45	0.0795642
CG9570-PA	633	464.535	0	0
Or19b-PA	1164	995.535	0	0
CG15322-PB	2223	2054.53	2.5	0.00471713
CG15322-PC	2223	2054.53	2.5	0.00471713
Or19a-PB	1164	995.535	0	0
karr-PA	294	132.986	0	0
fd19B-PA	783	614.535	0	0
CG17003-PA	864	695.535	0	0
CG12655-PA	468	299.862	20	0.258559
CG33217-PA	2100	1931.53	641	1.28649
Vps11-PA	2493	2324.53	552.774	0.921856
RpL10-PC	657	488.535	30249	240.031
RpL10-PD	657	488.535	30249	240.031
RpL10-PE	657	488.535	30249	240.031
G9a-PA	4914	4745.53	491.111	0.401186
G9a-PB	4974	4805.53	52.8889	0.0426653
cin-PB	1806	1637.53	348	0.823835
cin-PA	1806	1637.53	348	0.823835
CG3777-PB	2640	2471.53	8.4	0.0131754
CG3777-PA	2640	2471.53	8.4	0.0131754
CG3777-PC	2640	2471.53	8.4	0.0131754
CG3777-PD	2640	2471.53	8.4	0.0131754
CG3777-PE	2640	2471.53	8.4	0.0131754
CG12470-PA	588	419.535	0	0
Or1a-PA	1179	1010.53	3	0.0115086
y-PA	1626	1457.53	0	0
ac-PA	606	437.535	0	0
sc-PA	1038	869.535	0	0
l(1)sc-PA	774	605.535	0	0
ase-PA	1461	1292.53	0	0
CG13373-PA	375	208.23	0	0
CG13373-PB	534	365.575	194	2.0572
CG32817-PA	366	199.456	0	0
CG32817-PC	366	199.456	0	0
CG32817-PB	366	199.456	0	0
CG3176-PA	366	199.456	23.0075	0.44717
CG3176-PB	306	143.498	1.49252	0.0403204
CG3176-PC	306	143.498	1.49252	0.0403204
CG3176-PD	366	199.456	23.0075	0.44717
CG3156-PA	2079	1910.53	91.918	0.186508
CG17778-PA	384	216.998	2	0.0357294
CG17778-PB	384	216.998	2	0.0357294
arg-PA	1056	887.535	3	0.0131035
CG17896-PB	1563	1394.53	2482.11	6.89991
CG17896-PA	1536	1367.53	36.8902	0.104574
CG18273-PA	4134	3965.53	871	0.851467
Cyp4g1-PA	1671	1502.53	1796	4.63376
Pgcl-PA	1224	1055.53	0	0
CG32816-PB	1137	968.535	280	1.12071
CG32816-PA	1137	968.535	280	1.12071
CG32816-PC	882	713.535	0	0
CG32816-PD	882	713.535	0	0
CG32816-PE	1137	968.535	280	1.12071
CG32816-PF	1137	968.535	280	1.12071
CG13375-PA	921	752.535	0	0
CG13375-PB	921	752.535	0	0
CG13375-PC	834	665.535	2	0.0116496
CG3038-PB	1077	908.535	7.71551	0.0329211
CG3038-PA	1167	998.535	33.2845	0.12922
CG3038-PC	1080	911.535	0	0
Appl-PA	2664	2495.53	0.0489855	7.60949e-05
Appl-PB	2673	2504.53	0	0
Appl-PC	2493	2324.53	0	0
Appl-PD	2667	2498.53	2.58019	0.00400329
Appl-PE	2652	2483.53	10.3708	0.0161881
Appl-PF	2667	2498.53	0	0
CG13369-PA	915	746.535	1915	9.94421
CG17829-PA	1404	1235.53	137.734	0.432154
CG17829-PC	1347	1178.53	25.5316	0.0839821
CG17829-PB	1404	1235.53	137.734	0.432154
Mybbp1A-PA	3402	3233.53	369	0.442385
su(sable)-PA	3978	3809.53	1898.06	1.93148
su(sable)-PB	3966	3797.53	106.872	0.109097
su(sable)-PC	3978	3809.53	1898.06	1.93148
CG13367-PA	1227	1058.53	335	1.22685
Roc1a-PC	411	243.361	17.4305	0.277658
Roc1a-PA	327	162.463	1247.28	29.7621
Roc1a-PD	327	162.463	1247.28	29.7621
CG5254-PA	921	752.535	244	1.25694
CG5254-PB	714	545.535	0	0
CG5273-PA	1410	1241.53	39.6667	0.123856
CG5273-PC	1410	1241.53	39.6667	0.123856
CG5273-PB	1410	1241.53	39.6667	0.123856
fz3-PA	1746	1577.53	1381.63	3.39518
fz3-PB	1941	1772.53	106.748	0.233462
