target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2163.28	31	0.0968131
Nep3-PB	2361	2163.28	31	0.0968131
Nep3-PC	2361	2163.28	31	0.0968131
CG9570-PA	633	435.444	0	0
Or19b-PA	1164	966.284	0	0
CG15322-PB	2223	2025.28	0	0
CG15322-PC	2223	2025.28	0	0
Or19a-PB	1164	966.284	0	0
karr-PA	294	109.267	0	0
fd19B-PA	783	585.284	0	0
CG17003-PA	864	666.284	0	0
CG12655-PA	468	271.033	15	0.373899
CG33217-PA	2100	1902.28	563	1.99949
Vps11-PA	2493	2295.28	477	1.404
RpL10-PC	657	459.444	15110.3	222.192
RpL10-PD	657	459.444	15110.3	222.192
RpL10-PE	657	459.444	15110.3	222.192
G9a-PA	4914	4716.28	419.103	0.600353
G9a-PB	4974	4776.28	19.8968	0.0281436
cin-PB	1806	1608.28	338.5	1.42194
cin-PA	1806	1608.28	338.5	1.42194
CG3777-PB	2640	2442.28	8.8	0.0243429
CG3777-PA	2640	2442.28	8.8	0.0243429
CG3777-PC	2640	2442.28	8.8	0.0243429
CG3777-PD	2640	2442.28	8.8	0.0243429
CG3777-PE	2640	2442.28	8.8	0.0243429
CG12470-PA	588	390.527	1	0.0172996
Or1a-PA	1179	981.284	12	0.0826176
y-PA	1626	1428.28	0	0
ac-PA	606	408.486	0	0
sc-PA	1038	840.284	0	0
l(1)sc-PA	774	576.284	0	0
ase-PA	1461	1263.28	0	0
CG13373-PA	375	181.203	0	0
CG13373-PB	534	336.594	102	2.04729
CG32817-PA	366	172.652	5.0917	0.19924
CG32817-PC	366	172.652	5.0917	0.19924
CG32817-PB	366	172.652	5.0917	0.19924
CG3176-PA	366	172.652	23.0854	0.903337
CG3176-PB	306	119.19	6.7771	0.384139
CG3176-PC	306	119.19	6.7771	0.384139
CG3176-PD	366	172.652	23.0854	0.903337
CG3156-PA	2079	1881.28	96.12	0.34518
CG17778-PA	384	189.376	1.5	0.053512
CG17778-PB	384	189.376	1.5	0.053512
arg-PA	1056	858.284	2	0.0157429
CG17896-PB	1563	1365.28	2378.01	11.7673
CG17896-PA	1536	1338.28	57.9926	0.292759
CG18273-PA	4134	3936.28	770	1.32157
Cyp4g1-PA	1671	1473.28	2	0.00917127
Pgcl-PA	1224	1026.28	0	0
CG32816-PB	1137	939.284	240.75	1.73163
CG32816-PA	1137	939.284	240.75	1.73163
CG32816-PC	882	684.284	0	0
CG32816-PD	882	684.284	0	0
CG32816-PE	1137	939.284	240.75	1.73163
CG32816-PF	1137	939.284	240.75	1.73163
CG13375-PA	921	723.284	3.5	0.0326923
CG13375-PB	921	723.284	3.5	0.0326923
CG13375-PC	834	636.284	0	0
CG3038-PB	1077	879.284	0	0
CG3038-PA	1167	969.284	40	0.278801
CG3038-PC	1080	882.284	0	0
Appl-PA	2664	2466.28	0	0
Appl-PB	2673	2475.28	12.9132	0.0352449
Appl-PC	2493	2295.28	0	0
Appl-PD	2667	2469.28	0	0
Appl-PE	2652	2454.28	0	0
Appl-PF	2667	2469.28	13.0868	0.0358053
CG13369-PA	915	717.284	1755	16.53
CG17829-PA	1404	1206.28	151.386	0.847858
CG17829-PC	1347	1149.28	11.2273	0.0659986
CG17829-PB	1404	1206.28	151.386	0.847858
Mybbp1A-PA	3402	3204.28	292	0.615655
su(sable)-PA	3978	3780.28	1743.09	3.11517
