target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2192.21	23.3333	0.0498942
Nep3-PB	2361	2192.21	23.3333	0.0498942
Nep3-PC	2361	2192.21	23.3333	0.0498942
CG9570-PA	633	464.209	0	0
Or19b-PA	1164	995.209	0	0
CG15322-PB	2223	2054.21	0	0
CG15322-PC	2223	2054.21	0	0
Or19a-PB	1164	995.209	0	0
karr-PA	294	133.804	0	0
fd19B-PA	783	614.209	0	0
CG17003-PA	864	695.209	0	0
CG12655-PA	468	299.634	0	0
CG33217-PA	2100	1931.21	633	1.53649
Vps11-PA	2493	2324.21	533.309	1.07562
RpL10-PC	657	488.209	16347.7	156.966
RpL10-PD	657	488.209	16347.7	156.966
RpL10-PE	657	488.209	16347.7	156.966
G9a-PA	4914	4745.21	263.832	0.260631
G9a-PB	4974	4805.21	100.168	0.0977174
cin-PB	1806	1637.21	312	0.893317
cin-PA	1806	1637.21	312	0.893317
CG3777-PB	2640	2471.21	25.2	0.047802
CG3777-PA	2640	2471.21	25.2	0.047802
CG3777-PC	2640	2471.21	25.2	0.047802
CG3777-PD	2640	2471.21	25.2	0.047802
CG3777-PE	2640	2471.21	25.2	0.047802
CG12470-PA	588	419.296	1	0.0111798
Or1a-PA	1179	1010.21	0	0
y-PA	1626	1457.21	0	0
ac-PA	606	437.253	0	0
sc-PA	1038	869.209	0	0
l(1)sc-PA	774	605.209	0	0
ase-PA	1461	1292.21	0	0
CG13373-PA	375	208.464	0	0
CG13373-PB	534	365.369	121	1.55242
CG32817-PA	366	199.813	3.60225	0.0845095
CG32817-PC	366	199.813	3.60225	0.0845095
CG32817-PB	366	199.813	3.60225	0.0845095
CG3176-PA	366	199.813	35.1203	0.823931
CG3176-PB	306	144.238	4.47631	0.145477
CG3176-PC	306	144.238	4.47631	0.145477
CG3176-PD	366	199.813	35.1203	0.823931
CG3156-PA	2079	1910.21	74.1974	0.18208
CG17778-PA	384	217.082	0	0
CG17778-PB	384	217.082	0	0
arg-PA	1056	887.209	8	0.0422687
CG17896-PB	1563	1394.21	2168.23	7.29008
CG17896-PA	1536	1367.21	25.771	0.088359
CG18273-PA	4134	3965.21	848	1.0025
Cyp4g1-PA	1671	1502.21	308	0.961115
Pgcl-PA	1224	1055.21	0	0
CG32816-PB	1137	968.209	134.25	0.64998
CG32816-PA	1137	968.209	134.25	0.64998
CG32816-PC	882	713.209	0	0
CG32816-PD	882	713.209	0	0
CG32816-PE	1137	968.209	134.25	0.64998
CG32816-PF	1137	968.209	134.25	0.64998
CG13375-PA	921	752.209	0	0
CG13375-PB	921	752.209	0	0
CG13375-PC	834	665.209	3	0.0211406
CG3038-PB	1077	908.209	13.1293	0.0677659
CG3038-PA	1167	998.209	38.695	0.181714
CG3038-PC	1080	911.209	5.17569	0.026626
Appl-PA	2664	2495.21	0	0
Appl-PB	2673	2504.21	7.42202	0.0138933
Appl-PC	2493	2324.21	0	0
Appl-PD	2667	2498.21	5.57798	0.0104665
Appl-PE	2652	2483.21	0	0
Appl-PF	2667	2498.21	0	0
CG13369-PA	915	746.209	1439	9.03973
CG17829-PA	1404	1235.21	136.103	0.516513
CG17829-PC	1347	1178.21	15.7946	0.0628407
CG17829-PB	1404	1235.21	136.103	0.516513
Mybbp1A-PA	3402	3233.21	410	0.594436
su(sable)-PA	3978	3809.21	1341.27	1.65058
su(sable)-PB	3966	3797.21	177.46	0.219074
su(sable)-PC	3978	3809.21	1341.27	1.65058
CG13367-PA	1227	1058.21	297	1.31565
