target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2202.24	55.6667	0.11846
Nep3-PB	2361	2202.24	55.6667	0.11846
Nep3-PC	2361	2202.24	55.6667	0.11846
CG9570-PA	633	474.243	0	0
Or19b-PA	1164	1005.24	0	0
CG15322-PB	2223	2064.24	0.5	0.00113514
CG15322-PC	2223	2064.24	0.5	0.00113514
Or19a-PB	1164	1005.24	0	0
karr-PA	294	140.975	0	0
fd19B-PA	783	624.243	0	0
CG17003-PA	864	705.243	2	0.0132902
CG12655-PA	468	309.847	0	0
CG33217-PA	2100	1941.24	718	1.73335
Vps11-PA	2493	2334.24	600.757	1.20613
RpL10-PC	657	498.243	20882	196.414
RpL10-PD	657	498.243	20882	196.414
RpL10-PE	657	498.243	20882	196.414
G9a-PA	4914	4755.24	532.546	0.524837
G9a-PB	4974	4815.24	19.4544	0.0189339
cin-PB	1806	1647.24	373	1.06119
cin-PA	1806	1647.24	373	1.06119
CG3777-PB	2640	2481.24	117	0.220982
CG3777-PA	2640	2481.24	117	0.220982
CG3777-PC	2640	2481.24	117	0.220982
CG3777-PD	2640	2481.24	117	0.220982
CG3777-PE	2640	2481.24	117	0.220982
CG12470-PA	588	429.331	2	0.0218313
Or1a-PA	1179	1020.24	4	0.0183737
y-PA	1626	1467.24	0	0
ac-PA	606	447.243	0	0
sc-PA	1038	879.243	0	0
l(1)sc-PA	774	615.243	0	0
ase-PA	1461	1302.24	0	0
CG13373-PA	375	218.291	0	0
CG13373-PB	534	375.453	139	1.735
CG32817-PA	366	209.399	0	0
CG32817-PC	366	209.399	0	0
CG32817-PB	366	209.399	0	0
CG3176-PA	366	209.399	37.7912	0.845777
CG3176-PB	306	151.74	5.70884	0.176315
CG3176-PC	306	151.74	5.70884	0.176315
CG3176-PD	366	209.399	37.7912	0.845777
CG3156-PA	2079	1920.24	120.658	0.29447
CG17778-PA	384	227.023	2	0.0412859
CG17778-PB	384	227.023	2	0.0412859
arg-PA	1056	897.243	2	0.0104463
CG17896-PB	1563	1404.24	1991.54	6.64641
CG17896-PA	1536	1377.24	36.4621	0.124071
CG18273-PA	4134	3975.24	670	0.789863
