target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2187.66	8.66667	0.0394521
Nep3-PB	2361	2187.66	8.66667	0.0394521
Nep3-PC	2361	2187.66	8.66667	0.0394521
CG9570-PA	633	459.662	0	0
Or19b-PA	1164	990.662	0	0
CG15322-PB	2223	2049.66	2	0.0097173
CG15322-PC	2223	2049.66	2	0.0097173
Or19a-PB	1164	990.662	0	0
karr-PA	294	131.211	0	0
fd19B-PA	783	609.662	0	0
CG17003-PA	864	690.662	0	0
CG12655-PA	468	295.313	0	0
CG33217-PA	2100	1926.66	255	1.31805
Vps11-PA	2493	2319.66	248.274	1.06587
RpL10-PC	657	483.662	6329	130.314
RpL10-PD	657	483.662	6329	130.314
RpL10-PE	657	483.662	6329	130.314
G9a-PA	4914	4740.66	210	0.441142
G9a-PB	4974	4800.66	0	0
cin-PB	1806	1632.66	155.5	0.948489
cin-PA	1806	1632.66	155.5	0.948489
CG3777-PB	2640	2466.66	42.8	0.172795
CG3777-PA	2640	2466.66	42.8	0.172795
CG3777-PC	2640	2466.66	42.8	0.172795
CG3777-PD	2640	2466.66	42.8	0.172795
CG3777-PE	2640	2466.66	42.8	0.172795
CG12470-PA	588	414.746	1	0.0240113
Or1a-PA	1179	1005.66	0	0
y-PA	1626	1452.66	0	0
ac-PA	606	432.662	0	0
sc-PA	1038	864.662	0	0
l(1)sc-PA	774	600.662	0	0
ase-PA	1461	1287.66	0	0
CG13373-PA	375	204.73	0	0
CG13373-PB	534	360.864	58	1.6006
CG32817-PA	366	196.276	0	0
CG32817-PC	366	196.276	0	0
CG32817-PB	366	196.276	0	0
CG3176-PA	366	196.276	9.94164	0.504416
CG3176-PB	306	141.903	2.05836	0.144453
CG3176-PC	306	141.903	2.05836	0.144453
CG3176-PD	366	196.276	9.94164	0.504416
CG3156-PA	2079	1905.66	55.5291	0.290183
CG17778-PA	384	213.244	0.5	0.0233503
CG17778-PB	384	213.244	0.5	0.0233503
arg-PA	1056	882.662	5	0.0564123
CG17896-PB	1563	1389.66	860.617	6.16735
CG17896-PA	1536	1362.66	10.3827	0.0758789
CG18273-PA	4134	3960.66	346	0.869974
Cyp4g1-PA	1671	1497.66	16	0.106391
Pgcl-PA	1224	1050.66	0	0
CG32816-PB	1137	963.662	105	1.08508
CG32816-PA	1137	963.662	105	1.08508
CG32816-PC	882	708.662	0	0
CG32816-PD	882	708.662	0	0
CG32816-PE	1137	963.662	105	1.08508
CG32816-PF	1137	963.662	105	1.08508
CG13375-PA	921	747.662	0	0
CG13375-PB	921	747.662	0	0
CG13375-PC	834	660.662	3	0.045221
CG3038-PB	1077	903.662	11.9593	0.131795
CG3038-PA	1167	993.662	11.0407	0.110651
CG3038-PC	1080	906.662	0	0
Appl-PA	2664	2490.66	0	0
Appl-PB	2673	2499.66	2.18568	0.00870772
Appl-PC	2493	2319.66	4.81432	0.0206684
Appl-PD	2667	2493.66	0	0
Appl-PE	2652	2478.66	0	0
Appl-PF	2667	2493.66	0	0
CG13369-PA	915	741.662	705	9.46632
CG17829-PA	1404	1230.66	70	0.566444
CG17829-PC	1347	1173.66	0	0
CG17829-PB	1404	1230.66	70	0.566444
Mybbp1A-PA	3402	3228.66	145	0.447243
su(sable)-PA	3978	3804.66	774.292	2.02669
su(sable)-PB	3966	3792.66	173.415	0.455346
su(sable)-PC	3978	3804.66	774.292	2.02669
CG13367-PA	1227	1053.66	141	1.33265
Roc1a-PC	411	239.27	3.28221	0.136608
Roc1a-PA	327	160.436	428.859	26.6202
Roc1a-PD	327	160.436	428.859	26.6202
CG5254-PA	921	747.662	86	1.14549
CG5254-PB	714	540.662	0	0
CG5273-PA	1410	1236.66	18.3333	0.147635
CG5273-PC	1410	1236.66	18.3333	0.147635
CG5273-PB	1410	1236.66	18.3333	0.147635
fz3-PA	1746	1572.66	511.234	3.23729
fz3-PB	1941	1767.66	39.5326	0.222717
fz3-PC	1746	1572.66	511.234	3.23729
CG16989-PC	3138	2964.66	377	1.26638
CG16989-PD	3138	2964.66	377	1.26638
CG14635-PA	360	190.709	0	0
CG13358-PD	906	732.662	1	0.0135923
CG13359-PA	1482	1308.66	125	0.951219
Rbf-PA	2538	2364.66	303	1.27606
CG13360-PA	1266	1092.66	3	0.0273422
RpL22-PA	900	726.662	10658.1	146.065
CG13361-PA	1437	1263.66	12	0.0945689
CG13362-PA	969	795.662	66	0.826063
Hmt4-20-PA	3903	3729.66	231.5	0.61813
Hmt4-20-PB	3903	3729.66	231.5	0.61813
RpL36-PA	348	179.63	1573.8	87.2506
RpL36-PB	348	179.63	1573.8	87.2506
RpL36-PD	348	179.63	1573.8	87.2506
RpL36-PC	348	179.63	1573.8	87.2506
RpL36-PE	348	179.63	1573.8	87.2506
CG13364-PA	195	56.0208	835	148.435
CG13365-PA	345	176.757	140	7.88769
spdi-PA	2853	2679.66	0	0
spdi-PB	3285	3111.66	177.838	0.569156
spdi-PC	3285	3111.66	177.838	0.569156
spdi-PD	2850	2676.66	0	0
spdi-PE	2853	2679.66	0	0
spdi-PF	3285	3111.66	177.838	0.569156
spdi-PG	2829	2655.66	34.4845	0.129315
CG14634-PB	282	121.624	4	0.327519
CG11664-PA	765	591.662	2987	50.2759
CG11663-PA	459	286.431	0	0
CG11663-PB	459	286.431	0	0
MED22-PA	432	259.839	68	2.60617
CG32815-PC	1149	975.662	8.5	0.0867596
CG32815-PD	1149	975.662	8.5	0.0867596
TRAM-PB	1107	933.662	765.4	8.16388
TRAM-PA	1107	933.662	765.4	8.16388
TRAM-PC	1107	933.662	765.4	8.16388
TRAM-PD	1107	933.662	765.4	8.16388
