target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2184.72	18.6667	0.0547053
Nep3-PB	2361	2184.72	18.6667	0.0547053
Nep3-PC	2361	2184.72	18.6667	0.0547053
CG9570-PA	633	456.723	0	0
Or19b-PA	1164	987.723	0	0
CG15322-PB	2223	2046.72	0	0
CG15322-PC	2223	2046.72	0	0
Or19a-PB	1164	987.723	0	0
karr-PA	294	129.259	0	0
fd19B-PA	783	606.723	0	0
CG17003-PA	864	687.723	0	0
CG12655-PA	468	292.584	12	0.262597
CG33217-PA	2100	1923.72	425	1.41451
Vps11-PA	2493	2316.72	458.202	1.26632
RpL10-PC	657	480.723	18750	249.727
RpL10-PD	657	480.723	18750	249.727
RpL10-PE	657	480.723	18750	249.727
G9a-PA	4914	4737.72	238.899	0.322852
G9a-PB	4974	4797.72	16.1009	0.021487
cin-PB	1806	1629.72	228	0.895736
cin-PA	1806	1629.72	228	0.895736
CG3777-PB	2640	2463.72	10.4	0.0270272
CG3777-PA	2640	2463.72	10.4	0.0270272
CG3777-PC	2640	2463.72	10.4	0.0270272
CG3777-PD	2640	2463.72	10.4	0.0270272
CG3777-PE	2640	2463.72	10.4	0.0270272
CG12470-PA	588	411.723	0	0
Or1a-PA	1179	1002.72	1	0.00638525
y-PA	1626	1449.72	0	0
ac-PA	606	429.723	0	0
sc-PA	1038	861.723	0	0
l(1)sc-PA	774	597.723	0	0
ase-PA	1461	1284.72	1	0.00498367
CG13373-PA	375	202.444	0	0
CG13373-PB	534	357.954	95	1.69924
CG32817-PA	366	193.825	0.43483	0.0143638
CG32817-PC	366	193.825	0.43483	0.0143638
CG32817-PB	366	193.825	0.43483	0.0143638
CG3176-PA	366	193.825	13.4627	0.444715
CG3176-PB	306	139.614	4.38502	0.201096
CG3176-PC	306	139.614	4.38502	0.201096
CG3176-PD	366	193.825	13.4627	0.444715
CG3156-PA	2079	1902.72	67.8686	0.228377
CG17778-PA	384	210.962	0.5	0.0151749
CG17778-PB	384	210.962	0.5	0.0151749
arg-PA	1056	879.723	2	0.014556
CG17896-PB	1563	1386.72	1755.86	8.10699
CG17896-PA	1536	1359.72	10.1387	0.0477408
CG18273-PA	4134	3957.72	511	0.826675
Cyp4g1-PA	1671	1494.72	2	0.00856699
Pgcl-PA	1224	1047.72	0	0
CG32816-PB	1137	960.723	203.25	1.35454
CG32816-PA	1137	960.723	203.25	1.35454
CG32816-PC	882	705.723	0	0
CG32816-PD	882	705.723	0	0
CG32816-PE	1137	960.723	203.25	1.35454
CG32816-PF	1137	960.723	203.25	1.35454
CG13375-PA	921	744.723	2	0.0171947
CG13375-PB	921	744.723	2	0.0171947
CG13375-PC	834	657.723	0	0
CG3038-PB	1077	900.723	14.9048	0.105948
CG3038-PA	1167	990.723	14.0952	0.0910917
CG3038-PC	1080	903.723	0	0
Appl-PA	2664	2487.72	0	0
Appl-PB	2673	2496.72	0	0
Appl-PC	2493	2316.72	3	0.00829099
Appl-PD	2667	2490.72	0	0
Appl-PE	2652	2475.72	0	0
Appl-PF	2667	2490.72	0	0
CG13369-PA	915	738.723	1516	13.1394
CG17829-PA	1404	1227.72	103.793	0.541285
CG17829-PC	1347	1170.72	23.4144	0.128052
CG17829-PB	1404	1227.72	103.793	0.541285
Mybbp1A-PA	3402	3225.72	271	0.5379
su(sable)-PA	3978	3801.72	1208.98	2.0361
su(sable)-PB	3966	3789.72	131.035	0.22138
su(sable)-PC	3978	3801.72	1208.98	2.0361
CG13367-PA	1227	1050.72	182	1.10903
Roc1a-PC	411	236.931	11.0948	0.299817
Roc1a-PA	327	158.25	807.953	32.689
Roc1a-PD	327	158.25	807.953	32.689
CG5254-PA	921	744.723	178	1.53033
CG5254-PB	714	537.723	0	0
CG5273-PA	1410	1233.72	34	0.176449
CG5273-PC	1410	1233.72	34	0.176449
CG5273-PB	1410	1233.72	34	0.176449
fz3-PA	1746	1569.72	583.777	2.38113
fz3-PB	1941	1764.72	39.4452	0.143112
fz3-PC	1746	1569.72	583.777	2.38113
CG16989-PC	3138	2961.72	393	0.849586
CG16989-PD	3138	2961.72	393	0.849586
CG14635-PA	360	188.347	0	0
CG13358-PD	906	729.723	2	0.0175481
CG13359-PA	1482	1305.72	8	0.0392282
Rbf-PA	2538	2361.72	427	1.1576
CG13360-PA	1266	1089.72	62	0.364279
RpL22-PA	900	723.723	15903.6	140.696
CG13361-PA	1437	1260.72	16	0.0812567
CG13362-PA	969	792.723	125	1.0096
Hmt4-20-PA	3903	3726.72	407.5	0.700099
Hmt4-20-PB	3903	3726.72	407.5	0.700099
RpL36-PA	348	177.115	2351.2	84.995
RpL36-PB	348	177.115	2351.2	84.995
RpL36-PD	348	177.115	2351.2	84.995
RpL36-PC	348	177.115	2351.2	84.995
RpL36-PE	348	177.115	2351.2	84.995
CG13364-PA	195	55.398	1475	170.473
CG13365-PA	345	174.528	203	7.44717
spdi-PA	2853	2676.72	0	0
spdi-PB	3285	3108.72	266.607	0.549097
spdi-PC	3285	3108.72	266.607	0.549097
spdi-PD	2850	2673.72	10.7126	0.025653
spdi-PE	2853	2676.72	0	0
spdi-PF	3285	3108.72	266.607	0.549097
spdi-PG	2829	2652.72	38.4651	0.0928398
CG14634-PB	282	119.228	0	0
CG11664-PA	765	588.723	4285	46.6014
CG11663-PA	459	283.757	0	0
CG11663-PB	459	283.757	0	0
MED22-PA	432	257.189	100	2.48947
CG32815-PC	1149	972.723	11	0.072404
CG32815-PD	1149	972.723	11	0.072404
TRAM-PB	1107	930.723	1570.4	10.8031
TRAM-PA	1107	930.723	1570.4	10.8031
TRAM-PC	1107	930.723	1570.4	10.8031
TRAM-PD	1107	930.723	1570.4	10.8031
TRAM-PE	1107	930.723	1570.4	10.8031
mus81-PA	1281	1104.72	37	0.214441
CG18823-PA	321	152.844	0	0
CG14631-PA	399	225.393	0	0
