target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2230.9	19.3333	0.0617447
Nep3-PB	2361	2230.9	19.3333	0.0617447
Nep3-PC	2361	2230.9	19.3333	0.0617447
CG9570-PA	633	502.897	0	0
Or19b-PA	1164	1033.9	0	0
CG15322-PB	2223	2092.9	1	0.00340428
CG15322-PC	2223	2092.9	1	0.00340428
Or19a-PB	1164	1033.9	0	0
karr-PA	294	164.832	0	0
fd19B-PA	783	652.897	0	0
CG17003-PA	864	733.897	0	0
CG12655-PA	468	337.897	0	0
CG33217-PA	2100	1969.9	129	0.466572
Vps11-PA	2493	2362.9	136.704	0.412201
RpL10-PC	657	526.897	7993	108.083
RpL10-PD	657	526.897	7993	108.083
RpL10-PE	657	526.897	7993	108.083
G9a-PA	4914	4783.9	330.948	0.492891
G9a-PB	4974	4843.9	30.0516	0.0442024
cin-PB	1806	1675.9	231	0.982059
cin-PA	1806	1675.9	231	0.982059
CG3777-PB	2640	2509.9	53.4	0.151586
CG3777-PA	2640	2509.9	53.4	0.151586
CG3777-PC	2640	2509.9	53.4	0.151586
CG3777-PD	2640	2509.9	53.4	0.151586
CG3777-PE	2640	2509.9	53.4	0.151586
CG12470-PA	588	457.897	3	0.0466795
Or1a-PA	1179	1048.9	1	0.00679266
y-PA	1626	1495.9	0	0
ac-PA	606	475.897	0	0
sc-PA	1038	907.897	71	0.557179
l(1)sc-PA	774	643.897	1	0.0110651
ase-PA	1461	1330.9	1	0.00535338
CG13373-PA	375	245.036	0	0
CG13373-PB	534	403.897	94	1.65817
CG32817-PA	366	236.036	0.624026	0.0188364
CG32817-PC	366	236.036	0.624026	0.0188364
CG32817-PB	366	236.036	0.624026	0.0188364
CG3176-PA	366	236.036	5.25589	0.15865
CG3176-PB	306	176.629	5.80807	0.234284
CG3176-PC	306	176.629	5.80807	0.234284
CG3176-PD	366	236.036	5.25589	0.15865
CG3156-PA	2079	1948.9	89.6299	0.32767
CG17778-PA	384	254.011	0.5	0.0140246
CG17778-PB	384	254.011	0.5	0.0140246
arg-PA	1056	925.897	2	0.0153901
CG17896-PB	1563	1432.9	1283.04	6.37965
CG17896-PA	1536	1405.9	10.9634	0.0555603
CG18273-PA	4134	4003.9	551	0.980486
Cyp4g1-PA	1671	1540.9	37	0.171081
Pgcl-PA	1224	1093.9	0	0
CG32816-PB	1137	1006.9	330.75	2.34039
CG32816-PA	1137	1006.9	330.75	2.34039
CG32816-PC	882	751.897	0	0
CG32816-PD	882	751.897	0	0
CG32816-PE	1137	1006.9	330.75	2.34039
CG32816-PF	1137	1006.9	330.75	2.34039
CG13375-PA	921	790.897	0	0
