target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2205.4	41.3333	0.147788
Nep3-PB	2361	2205.4	41.3333	0.147788
Nep3-PC	2361	2205.4	41.3333	0.147788
CG9570-PA	633	477.497	0	0
Or19b-PA	1164	1008.4	0	0
CG15322-PB	2223	2067.4	5.5	0.0209781
CG15322-PC	2223	2067.4	5.5	0.0209781
Or19a-PB	1164	1008.4	0	0
karr-PA	294	144.565	0	0
fd19B-PA	783	627.397	0	0
CG17003-PA	864	708.397	0	0
CG12655-PA	468	312.638	27	0.681003
CG33217-PA	2100	1944.4	343	1.39103
Vps11-PA	2493	2337.4	383.725	1.29454
RpL10-PC	657	501.497	5445.33	85.6214
RpL10-PD	657	501.497	5445.33	85.6214
RpL10-PE	657	501.497	5445.33	85.6214
G9a-PA	4914	4758.4	352.111	0.583506
G9a-PB	4974	4818.4	15.8892	0.0260031
cin-PB	1806	1650.4	275	1.31393
cin-PA	1806	1650.4	275	1.31393
CG3777-PB	2640	2484.4	28.4	0.0901414
CG3777-PA	2640	2484.4	28.4	0.0901414
CG3777-PC	2640	2484.4	28.4	0.0901414
CG3777-PD	2640	2484.4	28.4	0.0901414
CG3777-PE	2640	2484.4	28.4	0.0901414
CG12470-PA	588	432.497	1	0.0182324
Or1a-PA	1179	1023.4	1	0.00770518
y-PA	1626	1470.4	0	0
ac-PA	606	450.497	0	0
sc-PA	1038	882.397	0	0
l(1)sc-PA	774	618.397	0	0
ase-PA	1461	1305.4	0	0
CG13373-PA	375	221.092	0	0
CG13373-PB	534	378.536	64	1.33321
CG32817-PA	366	212.505	0.535071	0.0198549
CG32817-PC	366	212.505	0.535071	0.0198549
CG32817-PB	366	212.505	0.535071	0.0198549
CG3176-PA	366	212.505	11.9496	0.443415
CG3176-PB	306	155.489	4.74777	0.240778
CG3176-PC	306	155.489	4.74777	0.240778
CG3176-PD	366	212.505	11.9496	0.443415
CG3156-PA	2079	1923.4	50.8194	0.208347
CG17778-PA	384	229.798	0	0
CG17778-PB	384	229.798	0	0
arg-PA	1056	900.397	2	0.0175155
CG17896-PB	1563	1407.4	1130.36	6.33328
CG17896-PA	1536	1380.4	52.6364	0.300683
CG18273-PA	4134	3978.4	399	0.790845
Cyp4g1-PA	1671	1515.4	0	0
Pgcl-PA	1224	1068.4	0	0
CG32816-PB	1137	981.397	312.5	2.51092
CG32816-PA	1137	981.397	312.5	2.51092
CG32816-PC	882	726.397	0	0
CG32816-PD	882	726.397	0	0
