target_id	length	eff_length	est_counts	tpm
Nep3-PA	2361	2205.16	40.6667	0.109591
Nep3-PB	2361	2205.16	40.6667	0.109591
Nep3-PC	2361	2205.16	40.6667	0.109591
CG9570-PA	633	477.161	0	0
Or19b-PA	1164	1008.16	0	0
CG15322-PB	2223	2067.16	5.5	0.0158111
CG15322-PC	2223	2067.16	5.5	0.0158111
Or19a-PB	1164	1008.16	0	0
karr-PA	294	142.143	0	0
fd19B-PA	783	627.161	0	0
CG17003-PA	864	708.161	0	0
CG12655-PA	468	312.271	2	0.0380604
CG33217-PA	2100	1944.16	521	1.5925
Vps11-PA	2493	2337.16	508	1.29166
RpL10-PC	657	501.161	11380	134.94
RpL10-PD	657	501.161	11380	134.94
RpL10-PE	657	501.161	11380	134.94
G9a-PA	4914	4758.16	437	0.545779
G9a-PB	4974	4818.16	0	0
cin-PB	1806	1650.16	305.5	1.10017
cin-PA	1806	1650.16	305.5	1.10017
CG3777-PB	2640	2484.16	91.6	0.219124
CG3777-PA	2640	2484.16	91.6	0.219124
CG3777-PC	2640	2484.16	91.6	0.219124
CG3777-PD	2640	2484.16	91.6	0.219124
CG3777-PE	2640	2484.16	91.6	0.219124
CG12470-PA	588	432.161	2	0.0275016
Or1a-PA	1179	1023.16	1	0.00580805
y-PA	1626	1470.16	1	0.00404212
ac-PA	606	450.161	0	0
sc-PA	1038	882.161	0	0
l(1)sc-PA	774	618.161	0	0
ase-PA	1461	1305.16	0	0
CG13373-PA	375	220.006	0	0
CG13373-PB	534	378.161	163	2.56145
CG32817-PA	366	211.221	4.04598	0.113831
CG32817-PC	366	211.221	4.04598	0.113831
CG32817-PB	366	211.221	4.04598	0.113831
CG3176-PA	366	211.221	27.6228	0.777153
CG3176-PB	306	153.59	10.3082	0.398836
CG3176-PC	306	153.59	10.3082	0.398836
CG3176-PD	366	211.221	27.6228	0.777153
CG3156-PA	2079	1923.16	96	0.29664
CG17778-PA	384	228.848	0	0
CG17778-PB	384	228.848	0	0
arg-PA	1056	900.161	4	0.0264067
CG17896-PB	1563	1407.16	2325.43	9.82052
CG17896-PA	1536	1380.16	35.5672	0.153142
CG18273-PA	4134	3978.16	793	1.18458
Cyp4g1-PA	1671	1515.16	171	0.670675
Pgcl-PA	1224	1068.16	0	0
CG32816-PB	1137	981.161	381	2.30759
CG32816-PA	1137	981.161	381	2.30759
CG32816-PC	882	726.161	0	0
CG32816-PD	882	726.161	0	0
CG32816-PE	1137	981.161	381	2.30759
CG32816-PF	1137	981.161	381	2.30759
CG13375-PA	921	765.161	4	0.0310657
CG13375-PB	921	765.161	4	0.0310657
CG13375-PC	834	678.161	0	0
CG3038-PB	1077	921.161	14.4094	0.0929578
CG3038-PA	1167	1011.16	2.23277	0.0131219
CG3038-PC	1080	924.161	14.3578	0.092324
Appl-PA	2664	2508.16	0	0
